"","CountyToGroups","Bay Area","Inland Empire","LA/Orange"
"1","LA/Orange",18583,45566,NA
"2","San Joaquin CA",11627,NA,1231
"3","Sacramento CA",10453,1690,4961
"4","Solano CA",7725,NA,1293
"5","Sonoma CA",6266,NA,1366
"6","Santa Cruz CA",6135,NA,1954
"7","Stanislaus CA",5702,NA,NA
"8","San Diego CA",5266,12300,15962
"9","King WA",4908,NA,5367
"10","Bent CO",3856,1330,5074
"11","Maricopa AZ",3748,2256,10252
"12","Santa Barbara CA",3609,1631,5277
"13","Yolo CA",3461,NA,2150
"14","Fresno CA",3406,1370,3538
"15","Monterey CA",3381,NA,1574
"16","Placer CA",3294,NA,1530
"17","New York NY",3118,NA,2988
"18","Inland Empire",3083,NA,77460
"19","Clark NV",2878,3364,14958
"20","Worcester MA",2606,NA,1903
"21","Merced CA",2577,NA,1339
"22","Cook IL",2449,NA,2167
"23","Multnomah OR",2324,NA,2258
"24","Butte CA",2214,NA,NA
"25","Washoe NV",2158,NA,NA
"26","San Luis Obispo CA",2078,1258,3289
"27","Harris TX",1742,NA,2735
"28","El Dorado CA",1733,NA,NA
"29","Dallas TX",1617,NA,3045
"30","Kings NY",1606,NA,1333
"31","Salt Lake UT",1295,1327,1570
"32","Alpine CA",1274,NA,NA
"33","Suffolk MA",1233,NA,NA
"34","Travis TX",1231,NA,1809
"35","Kern CA",1153,3445,12001
"36","Honolulu HI",1101,1308,2272
"37","Napa CA",1082,NA,NA
"38","Pima AZ",1081,1013,1925
"39","Wake NC",1046,NA,NA
"40","Del Norte CA",1013,NA,NA
"41","Ada ID",NA,1408,1441
"42","Bay Area",NA,3910,23337
"43","Bexar TX",NA,NA,1316
"44","Coconino AZ",NA,NA,1167
"45","Collin TX",NA,NA,1474
"46","Denton TX",NA,NA,1242
"47","District of Columbia DC",NA,NA,1170
"48","Gila AZ",NA,NA,1012
"49","Humboldt CA",NA,NA,1240
"50","La Paz AZ",NA,2052,1270
"51","Madera CA",NA,NA,1150
"52","Tarrant TX",NA,NA,2462
"53","Tulare CA",NA,NA,1147
"54","Tulsa OK",NA,NA,1052
"55","Utah UT",NA,1079,1403
"56","Ventura CA",NA,NA,10663
"57","Washington OR",NA,NA,1542
